nombre_hotel,estrellas,precio,fecha_reserva
ibis budget Madrid Calle 30,4.4,110.0,2025-02-21
ibis Madrid Centro las Ventas,4.5,172.0,2025-02-21
ibis budget Madrid Centro las Ventas,4.3,119.0,2025-02-21
ibis Madrid Calle Alcalá,4.5,119.0,2025-02-21
ibis budget Madrid Vallecas,4.3,107.0,2025-02-21
ibis Madrid Aeropuerto Barajas,4.4,116.0,2025-02-21
ibis Madrid Alcorcon Tresaguas,4.4,90.0,2025-02-21
ibis budget Madrid Aeropuerto,4.0,117.0,2025-02-21
ibis Madrid Alcobendas,4.4,86.0,2025-02-21
ibis budget Madrid Getafe,4.2,99.0,2025-02-21
