id_reserva,id_cliente,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,id_hotel,nombre_hotel,ciudad,precio_noche,estrellas
40c4cb55-d1f5-407b-832f-4756b8ff77b4,1,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09,2025-03-01,2025-03-02,1,Hotel Monte Verde,Madrid,276.61238095238093,3.1
f2ce8df5-7844-43e1-8c0f-97ce7a208f21,2,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08,2025-03-01,2025-03-02,2,Hotel Brisas del Mar,Madrid,275.2259210526316,3.09
57d4515a-447d-4067-afcb-9bdcf4e4e915,3,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02,2025-03-01,2025-03-02,3,Hotel Camino del Sol,Madrid,269.99844357976656,3.07
ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,4,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08,2025-03-01,2025-03-02,4,Hotel Puerta del Cielo,Madrid,280.1512428298279,3.03
99c3dc4f-663c-45f7-849a-ac9313f3746a,5,Chelo,Flor,chelo.flor@example.com,False,2025-02-09,2025-03-01,2025-03-02,5,Hotel Encanto Real,Madrid,278.24399606299215,3.03
a5da0906-0fe5-4c30-b193-863df67a7b84,6,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10,2025-03-01,2025-03-02,6,Palacio del Sol,Madrid,282.4921499013806,2.99
3eca014e-f122-41d7-9dd3-b984b9153d57,7,Noé,Lobo,noé.lobo@example.com,False,2025-02-02,2025-03-01,2025-03-02,7,Hotel Jardines del Rey,Madrid,272.4023353293413,2.94
8a68fb77-8798-4902-a92d-642ea5e47083,8,Omar,Lamas,omar.lamas@example.com,False,2025-02-10,2025-03-01,2025-03-02,8,Hotel Las Estrellas,Madrid,271.7063529411765,2.91
5e3de36b-3d2f-4cef-98d3-df826c56a4b1,9,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01,2025-03-01,2025-03-02,9,Gran Hotel Madrid,Madrid,264.96716504854373,3.07
2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,10,Julie,Baños,julie.baños@example.com,False,2025-02-01,2025-03-01,2025-03-02,10,Hotel Torre Dorada,Madrid,272.7331755424063,2.92
96a3727c-99fb-4ae0-a6c3-886504499ec2,11,Javier,Mancebo,javier.mancebo@example.com,False,2025-02-12,2025-03-01,2025-03-02,11,Hotel Palacio Imperial,Madrid,272.2415151515151,3.01
18fa5887-c155-4064-ba8d-3b2948dd348b,12,Rita,Guerrero,rita.guerrero@example.com,False,2025-02-11,2025-03-01,2025-03-02,3,Hotel Camino del Sol,Madrid,269.99844357976656,3.07
